src,tgt
walk past wall mirrors on left up stairs wait at open glass door,Walk past the wall mirrors on the left. Walk up stairs. Wait at the open glass door. 
straight turn stairs then,Go straight and turn left to go up the stairs then stop. 
bedroom turn down stairs turn right up stairs down hallway wait by door on left,"Leave the bedroom, turn left, walk down the stairs, turn right, walk up the stairs, walk down the hallway, and wait by the door on the left. "
stairs top level then bedroom on left walk in closet,"Go up the stairs to the top level. Then go to the bedroom on the left, and enter the walk in closet. "
exit room turn beside potted plants near balcony doors,Exit the room and turn left. Wait beside the potted plants near the balcony doors. 
exit room straight then stairs stop,Exit the room and continue straight. Then turn left and go down the stairs and stop. 
turn hallway then straight until other hallway right into bedroom wait by bed,Turn left and go out the hallway then go straight until you get to the other hallway and turn right into the bedroom. Wait by the bed. 
turn around out of room left after stairs right wait in bedroom on right,Turn around and walk out of the room. Take a left after the stairs and turn right. Wait in the bedroom that is on the right. 
turn house left down hallway guest bedroom wait by door,Turn around and enter the house.  Turn to your left and walk down the hallway. Enter the guest bedroom and wait by the door. 
exit room through double doors corridor then into bedroom at far left near bed,"Exit the room through the double doors, cross the corridor, then continue into the bedroom at the far left. Stop and wait near the bed. "
walk through room right before white couch up flights of stairs stop at top of stairs,"Walk through room and turn right before white couch, walk up the two flights of stairs, stop at the top of the stairs. "
walk past credenza right stairs full flight of stairs next bench in kitchen,Walk past the credenza and take a right up the stairs. Go up the full flight of stairs and stop next to the bench in the kitchen. 
walk past bar turn right stairs landing right stairs wait top,Walk past the bar.  Turn to the right and go up the stairs to the landing.  Turn right and continue up the stairs.  Wait when you get the top. 
down stairs right at bottom of stairs exit through door on right wait by statue of man by window,Walk down the stairs.  Turn right at the bottom of stairs and exit through the door on the right.  Wait by the statue of a man by the window. 
exit closet then left room right in second door wait there,Exit the closet then turn left. Turn left and exit the room. Turn right in the second door. Wait there. 
bedroom right into laundry room wait,"Leave bedroom to hallway, turn right into laundry room and wait. "
go through glass door stairs left at bottom of stairs by plant,"Go left through the glass door, and go down the stairs to the left. Stop at the bottom of the stairs by the plant. "
turn stairs wait in front of plant,Turn left and go down the stairs. Wait in front of that plant. 
exit laundry room stairs on left beside potted plant,Exit the laundry room. Go down the stairs on the left. Wait beside the potted plant. 
stairs slightly right stopping at window statue outside,Go down the stairs and turn slightly to the right stopping at the window that has a statue outside. 
walk downstairs wait right of area by door,Walk downstairs and wait to the right of the sitting area by the door. 
walk way down stairs slight right toward window there,Walk all the way down the stairs. Take a slight right toward the window. Stop there. 
straight into room straight into middle door wait near entrance,Go straight into the room. Go straight into the middle door and wait near the entrance. 
forward into massage room slightly into marble room ahead wait just inside doorway,Walk forward into the massage room. Turn slightly left and walk into the marble room ahead. Wait just inside the doorway. 
straight into massage room walk through massage room into bathing room once room,"Go straight into the massage room. Walk through the massage room, and into the bathing room. Stop once you enter the room. "
into glass door on right into bedroom bathroom doorway in back left,Go into the glass door on the right and into the bedroom. Go to the bathroom doorway in the back left. 
pass white couches right at beginning of steps,Pass the white couches and wait right at the beginning of the three steps. 
walk toward stairs right before,Walk toward the stairs and stop right before them. 
turn right at table walk between couches turn at bottom of stairs,"Turn right at table and walk between couches, and turn left, wait at bottom of stairs. "
stairs straight left into kitchen at end of living room in kitchen doorway,Go up the stairs and go straight. Take a left into the kitchen at the end of the living room. Stop in the kitchen doorway. 
stairs right up last steps onto hardwood floor straight in doorway on left,"proceed up the stairs, curve right walk up last steps onto hardwood floor, continue straight and stop in the doorway on left. "
stairs walk past back of sectional sofa on right wait at threshold of dining room,Walk up stairs. Walk past the back of the sectional sofa on the right. Wait at the threshold of the dining room. 
turn doors directly ahead walk dining table wait there,Turn left and enter the doors directly ahead. Walk to the dining table. Wait there. 
walk past pool on left grass on right house wait at table,"Walk past the pool on the left and the grass on the right. Enter the house, and wait at the dining table. "
head straight pool then into house large glass door wait by large black glass table with grey chairs,Head straight and pass the pool then go into the house using the large glass sliding door. Wait by the large black glass table with the grey chairs. 
straight down stairs once through door at bottom,"Go straight and down the stairs, stopping once passing through the door at the bottom. "
