src,tgt
with banister right forward towards base of stairs ahead of left leading upwards stairs at top,"With the banister to your right, head forward towards the base of the stairs ahead of you and to the left leading upwards. Climb the stairs and stop at the top. "
walk past wall mirrors on left up stairs wait at open glass door,Walk past the wall mirrors on the left. Walk up stairs. Wait at the open glass door. 
straight turn stairs then,Go straight and turn left to go up the stairs then stop. 
bedroom turn turn set of stairs down hallway stand between picture of man band performing,Leave the bedroom turn left and go down the turn left and go up the set of stairs.  Walk down the hallway and stand between the picture of the man and the band performing. 
exit bedroom down stairs right at landing down stairs left at landing up stairs wait at photo of person bird,"Exit the bedroom, and walk down the stairs. Make a right at the landing, and walk down the stairs. Make a left at the landing, and walk up the stairs. Wait at the photo of the person holding a bird. "
bedroom turn down stairs turn right up stairs down hallway wait by door on left,"Leave the bedroom, turn left, walk down the stairs, turn right, walk up the stairs, walk down the hallway, and wait by the door on the left. "
stairs top level then bedroom on left walk in closet,"Go up the stairs to the top level. Then go to the bedroom on the left, and enter the walk in closet. "
way up steps hard right turn then steps then through door on left heading towards skateboards stopping,"Make your way up the steps, take a hard right turn and then continue up the steps then through the door on the left heading towards the skateboards and stopping. "
stairs next floor turn into first doorway bedroom toward bed right closet wait there,Go up the stairs to the next floor. Turn left into the first doorway. Enter the bedroom and go toward the bed. Turn right and enter the closet. Wait there. 
exit room turn beside potted plants near balcony doors,Exit the room and turn left. Wait beside the potted plants near the balcony doors. 
walk out of room in hallway hard left down corridor with many cabinets next room wait by vase with white flower inside,"Walk out of the room.  In the hallway, turn a hard left, and down the corridor with many cabinets to the next room.  Wait by the vase with white flower inside. "
exit room straight then stairs stop,Exit the room and continue straight. Then turn left and go down the stairs and stop. 
turn hallway then straight until other hallway right into bedroom wait by bed,Turn left and go out the hallway then go straight until you get to the other hallway and turn right into the bedroom. Wait by the bed. 
turn around out of room left after stairs right wait in bedroom on right,Turn around and walk out of the room. Take a left after the stairs and turn right. Wait in the bedroom that is on the right. 
office head out into hallway in hall straight heading in direction of bathroom in hall right in front of nightstand,Leave the office and head out into the hallway. In the hall go straight heading in the direction of the bathroom. In the hall take a right. stop in front of the nightstand. 
enter house left hallway bedroom through door at end in room left into kitchenette in front of mini-fridge,Enter the house and take a left. Go down the hallway and enter the bedroom through the door at the end. In the room take a left into the kitchenette. Stop in front of the mini-fridge. 
turn house left down hallway guest bedroom wait by door,Turn around and enter the house.  Turn to your left and walk down the hallway. Enter the guest bedroom and wait by the door. 
inside house quick left into hallway way down hallway until through open door directly at end of hallway upon room wait near kitchen area left,"Go inside the house and make a quick left into the hallway. Walk all the way down the hallway until you pass through the open door directly at the end of the hallway. Upon entering the room, wait near the kitchen area to your left. "
exit room through double doors corridor then into bedroom at far left near bed,"Exit the room through the double doors, cross the corridor, then continue into the bedroom at the far left. Stop and wait near the bed. "
walk through living room walk past glass towards chairs along wall right side walk through doorway after brown chairs walk through next archway at buffet right into bedroom directly opposite of buffet wait by door,"Walk through the living room. Walk past the glass tables towards the chairs along the wall to the right side. Walk through the doorway after the brown chairs. Walk straight through the next archway. AT the buffet, turn right and walk into the bedroom directly opposite of the buffet. Wait by the door. "
straight until room double doors ahead straight hallway ahead turn chair into second room on right wait near bed,Go straight until you exit the room using the double doors ahead. Go straight and enter the hallway ahead. Turn left when you get to the chair and go into the second room on the right. Wait near the bed. 
walk through room right before white couch up flights of stairs stop at top of stairs,"Walk through room and turn right before white couch, walk up the two flights of stairs, stop at the top of the stairs. "
walk past credenza right stairs full flight of stairs next bench in kitchen,Walk past the credenza and take a right up the stairs. Go up the full flight of stairs and stop next to the bench in the kitchen. 
walk past bar turn right stairs landing right stairs wait top,Walk past the bar.  Turn to the right and go up the stairs to the landing.  Turn right and continue up the stairs.  Wait when you get the top. 
down stairs right at bottom of stairs exit through door on right wait by statue of man by window,Walk down the stairs.  Turn right at the bottom of stairs and exit through the door on the right.  Wait by the statue of a man by the window. 
stairs left then right so in front of stairs downstairs now down second step wait,You need to go down the stairs and make a left then make a right so you are in front of the stairs going downstairs. Now go down to the second step and wait. 
down stairs at bottom of stairs right then though first doorway on right library statue bust on left just past doorway next bust,"Walk down the stairs.  At the bottom of the stairs, make a right.  Then, walk though the first doorway on your right to leave the library.  There will be a statue bust on your left just past the doorway.  Stop next to that bust. "
exit closet bedroom bedroom double doors on left forward second door on right laundry room wait there,Exit the closet to the bedroom. Exit the bedroom to the double doors on the left. Go forward and enter the second door on the right leading to the laundry room. Wait there. 
exit closet then left room right in second door wait there,Exit the closet then turn left. Turn left and exit the room. Turn right in the second door. Wait there. 
bedroom right into laundry room wait,"Leave bedroom to hallway, turn right into laundry room and wait. "
go through glass door stairs left at bottom of stairs by plant,"Go left through the glass door, and go down the stairs to the left. Stop at the bottom of the stairs by the plant. "
turn stairs wait in front of plant,Turn left and go down the stairs. Wait in front of that plant. 
exit laundry room stairs on left beside potted plant,Exit the laundry room. Go down the stairs on the left. Wait beside the potted plant. 
stairs slightly right stopping at window statue outside,Go down the stairs and turn slightly to the right stopping at the window that has a statue outside. 
walk downstairs wait right of area by door,Walk downstairs and wait to the right of the sitting area by the door. 
walk way down stairs slight right toward window there,Walk all the way down the stairs. Take a slight right toward the window. Stop there. 
straight into room straight into middle door wait near entrance,Go straight into the room. Go straight into the middle door and wait near the entrance. 
forward into massage room slightly into marble room ahead wait just inside doorway,Walk forward into the massage room. Turn slightly left and walk into the marble room ahead. Wait just inside the doorway. 
straight into massage room walk through massage room into bathing room once room,"Go straight into the massage room. Walk through the massage room, and into the bathing room. Stop once you enter the room. "
into glass door on right into bedroom bathroom doorway in back left,Go into the glass door on the right and into the bedroom. Go to the bathroom doorway in the back left. 
turn right doorway between white chairs pass in front of bed right then room on left next nightstand with lamp on there,"Turn right and enter the doorway between the two white chairs. Pass in front of the bed and turn right, then enter the room on the left next to the nightstand with a lamp on it. Wait there. "
