,pred
0, Go to the left passed the chair. Turn right and go to the see and take a left go right. Go to the right right and stop when you're
1, Go to the right and go right when there is right and go right down right again. Stop right when you get to the right and stop.
2, Go to the right when you right when you see right to the right facing the couch. Stop right passed the couch couch and the right right again.
3, Go to the right when you reach the massage turn right. Pass the right the the potted plant a right. Wait when you the plant.
4," Go to the right, Pass the potted plant and the right. Go to the right, and the right. Wait when you get to the potted plant."
5, Go a left and go passed the and straight straight towards the inside. Keep walking straight towards the dining table and take a left.
6, Go right to the right. Go right when you can turn right when you can turn right. Go down the the and stop when you get plant.
7, Go to the right when you right when you see right to the right continue. Make a right when you can turn right when you see right and stop right when you can go right that is right and wait.
8, Go to the right passed the fireplace and go right to the right. Turn right and go right passed the right and stop.
9, Go to the right when you get to the right and the bed. Turn right and go right passing the right again.
10, Go to the right when you right to the right facing the sink. Turn right and go passed the right and stop right when the get to the right again.
11, Go to the right and go right when there is right and go right down right again. Stop right when you get to the right and stop.
12, Go a left passed the and and go straight towards the a left and and make right to the your your left and when you're to right again.
13," Go to the right when the potted plant and take a right. Go to the right when you can turn right, and stop when you can turn right and stop."
14, Go down the left and go right to the right. Turn right when you can turn right when you can turn right and go right down that can turn right and stop.
15," Go to the left and follow the left, and straight towards the TV and towards the dining table. take a left and stop when you reach the counter."
16, Make a left to go and go right facing the right. Go straight towards the the couch and turn right. right. when you get to the right plant.
17," Go to the left and follow the left, take a left and go straight towards the chair, turn right, and go to the right and stop when you're to the"
18," Go to the right and go right when see the chair, turn right and go to the right and stop when you get to the bed."
19, Go to the right when you right passed the chair. Turn right when the see the right and go the the right right right when you can right right before you can see right and wait.
20," Make a right to go right facing the right and go to the right when you see the chair, turn right."
21, Go to the right passed the chair. Turn right and go right before the right railing. Turn right and refrigerator going going to the refrigerator towards the doorway.
22, Go to the right passed the chair. Turn right and go to the right again. Go to the right and the plant.
23, Go to the left around the bed and to the left and go left towards the straight going straight towards the inside. going straight towards that leads straight and wait leather going up.
24, Turn to the right and take a right when you see a right and take another left. Walk to the doors and stop before the
25, Go to the left passed the bed and to the left and go left towards the going straight towards the the the stop right right right right right
26, Go to the right when the potted plant and take a right. Go to the right that is straight towards the outside.
27, Go to the left and go passed the Turn right and go right when you get to the right and stop right when you get to the right.
28, Go to the right and take a right when you see straight towards the go going right and pass the couch and stop right when you get to the refrigerator.
29, Go to the right and go right when there is right and go right down right again. Stop right when you get to the right and stop.
