src,tgt,pred-21,Pred-53,pred-72
 left chair right door-stuff left window-other right bottle right door-stuff,Walk past the large picture and chair. Walk past the dining room table turn right into the hallway and stop. , Make a chair to the chair and take a right. Go to the right and go to the the right right right right right right when you get to the right., Go to the left passed the chair. Turn right and go to the see and take a left go right. Go to the right right and stop when you're, Make a chair to the chair and take a right. Go to the right and go to the the right right right right right right when you get to the right.
 right door-stuff right door-stuff right door-stuff right door-stuff,Walk to the foot of the bed and to a little sitting area.  Go through the door on the left side.  Stop once you have stepped into the bathroom. , Go right to the right and go right to the right right right right right when you can see a right and stop when you get to the right., Go to the right and go right when there is right and go right down right again. Stop right when you get to the right and stop., Go right to the right and go right to the right right right right right when you can see a right and stop when you get to the right.
 right door-stuff right window-other right window-other right couch right couch right window-other,"Go straight and slightly right toward the glass table and white chairs. Pass the table and head straight, pass the couches and go into the room straight ahead. Wait by the bed. "," Go to the right right when you see a right right to the right passed the couch and turn right, and the couch right and stop when you get to the right.", Go to the right when you right when you see right to the right facing the couch. Stop right passed the couch couch and the right right again.," Go to the right right when you see a right right to the right passed the couch and turn right, and the couch right and stop when you get to the right."
 right toilet right door-stuff right door-stuff right potted plant right potted plant,"Exit the bathroom, cross the room passed the black doors on the right and then go to the right, passed the room with white counters in it, then go to the spot between the glass wall and the third counter chair. ", Go to the right to the right right when you see a right right to the potted plant. Turn right and the potted plant., Go to the right when you reach the massage turn right. Pass the right the the potted plant a right. Wait when you the plant., Go to the right to the right right when you see a right right to the potted plant. Turn right and the potted plant.
 right potted plant right window-other right window-other right potted plant,Go stand behind the middle kitchen island chair. ," Go right passed the potted plant and right right to the right. right, turn right and right when you get to the potted plant."," Go to the right, Pass the potted plant and the right. Go to the right, and the right. Wait when you get to the potted plant."," Go right passed the potted plant and right right to the right. right, turn right and right when you get to the potted plant."
 left door-stuff straight towards window-other straight towards dining table left window-other,Walk behind the couch and turn left.  Stop beside the middle stool. , Go to the left and go straight towards the towards towards towards towards towards towards the dining table. the the and the, Go a left and go passed the and straight straight towards the inside. Keep walking straight towards the dining table and take a left., Go to the left and go straight towards the towards towards towards towards towards towards the dining table. the the and the
 right door-stuff right window-other right window-other right window-other right potted plant,"Walk straight, and when you reach the end of the table turn right.  Wait by the brass chairs. ", Turn right to the right right towards the right right right right right right when you can see a right and potted plant., Go right to the right. Go right when you can turn right when you can turn right. Go down the the and stop when you get plant., Turn right to the right right towards the right right right right right right when you can see a right and potted plant.
 right window-other right furniture-other right window-other right window-other right window-other right window-other,Walk straight through the living room with the couch on your right. Go through the doorway into the bedroom at the end of the walkway. In the bedroom take a left and stop in the entry way just before the rug. , Go right to the right right right right right right right right right right right right right right right right right right right right right right right right right again., Go to the right when you right when you see right to the right continue. Make a right when you can turn right when you see right and stop right when you can go right that is right and wait., Go right to the right right right right right right right right right right right right right right right right right right right right right right right right right again.
 right chair right door-stuff right door-stuff right mirror-stuff,"Exit the bedroom, enter the bathroom, wait at the toilet. "," Go to the right passed the chair, turn right and go right to the right right and right right stopping right when you get to the right.", Go to the right passed the fireplace and go right to the right. Turn right and go right passed the right and stop.," Go to the right passed the chair, turn right and go right to the right right and right right stopping right when you get to the right."
 right cup right bed right door-stuff right door-stuff,Exit the shower and go into the room then turn right to exit the bedroom. Head toward the beige couches and wait near the blue rug with the three round coffee tables. , Go to the right passed the right and the bed. Go passed the right and right right right right and stop when you get to the right., Go to the right when you get to the right and the bed. Turn right and go right passing the right again., Go to the right passed the right and the bed. Go passed the right and right right right right and stop when you get to the right.
