src,tgt,path
walk through doorway with mirror on door walk through room into first doorway on left right in front of toilet,"Walk through the doorway with the mirror on the door. Walk through the room, and into the first doorway on the left. Stop right in front of toilet. ","['d2e778a1130d4dbfb60b503a7b528d80', '3560fdb7b97c462ab565c8946b77ecef', '4dcc93d2006646e19f9b2748dcb4f860', '57bdea1f5113402d9b4a65450e030424', '21e7d627b7b34355a52f3c88cb2ad446']"
exit bedroom hallway into kitchen past kitchen wait in dining room right of doors,Exit the bedroom and cross the hallway into the kitchen. Go past the kitchen and wait in the dining room to the right of the doors. ,"['a36d93ad718a4c18ae37b5b7e8b393ff', 'e61a450ffbe3472795b6559f3f36c211', '2c25ceddf2aa4f6182a84f2668b6635b', '858d6ec47f1045bbb9f2e5e0e1b380ae', '7dd8fe295b224962b6933cbd67d77eeb', 'd3f5d9ad84994c68afac6a292c39e2b3', '833c62d173f14aaabd2618c4aa1aefc2']"
turn right stairs right of chairs at top of stairs different entryways,Turn right to go up the stairs to the right of the chairs. Stop at the top of the stairs where the different entryways are. ,"['e39b52c7eedc4d859fca7888cab531ae', '01ea3de3141a4adaa917cebb3db3c086', 'c0a30ea3e4f54d77b8b013167b825342', '8b3817a237a54b89ac363dbea46b39c9', 'dbd4b155e5b24f279efe34ffd8c172a8', 'b0aa89cc447b4aab98f0b50b5c76b3f8']"
walk around table through double doors walk with pictures in doorway,Walk around table and through double doors. Walk to wall with hanging pictures. Stop in doorway. ,"['77547000cee245539277debd25748aa9', '89906283ef034ac095252101f2854b87', '1f8182156ccd41f39c552ac05ab24877', 'dac4509f882848258838272f16d18302', 'd5f3da3f2bdc4b028c1fe1a2362c7588', 'add134cc07e64d9d8524d0d9f96c4180']"
into double-doored entrance home toward dining room table.stop narrow hall so that covered chair,"Go into the double-doored entrance to the home and toward the dining room table.stop facing the narrow hall, so that you can see a covered chair. ","['b5de38fa174e49ccb91d7140b03a4da8', '7d12c880e74b4aaca567cd3a1b2805b7', 'd84053246d3e4a919e1562009d52f1c6', 'c913025ed1e5444aaaf8de29268a58e4', 'ec2928853f894aa7a626b0acd9558682', '865e21984c724badb6eba2652a79d596', '6f3c35e438ec46f4b09a62a7e37392a7']"
stairs enter bedroom stand shoe shelf,Go up the stairs and enter nearest bedroom. Go stand where the shoe shelf begins. ,"['82e8acfab99d4441ac4da5bf22c2642d', 'ed79b51efdac434cb12bcd3d5e7fd112', 'db8d7c22a6764639ab807ec3dec69a8b', 'aafdab8f21be40d8bb49f717aeff4d21', 'fea379edc55640b6863f138b527f33c7']"
turn bedroom then down stairs way bottom stop by plant,Turn left and exit the bedroom. Then turn left and walk down the stairs all the way to the bottom and stop by the plant. ,"['184edf3d3a4d482dae288e4811945331', '97568b167b2f41599faf06c4dab447d7', 'dc189857232643f9a17d5760ebb07b02', '15db0029a9844a5c8f8aadefe7178d10', '8fd980702db14e348e93943d61fdfb9a', '9a477352c0364b76839862c7298bfb8e', 'd2875e02333d4dd991e866786a87c1be']"
walk around living room into kitchen next light switch between counter dining room table there,Walk around the living room and go into the kitchen. Stand next to the light switch that is between the counter and the dining room table and stop there. ,"['18944ac8b05a44c7b073cfb5f6959e24', 'b950f8999dcf435981779ac43c283df1', '3cab0ed3e0834e569223ca0befce5d9e', '50f665df35f04b48a8e138ee19d71d7f', '1b584863928f47c68978bca62781228b']"
up stairs then wait on landing by partition,"Walk up the stairs, then wait on the landing by the partition. ","['236a4dea3b6e415baa0606e642d48784', 'b39b9c929eab4dd3816ba5a6affb738c', '9b7fc1f2ab4f4ffe9039d2742f4c7c37', 'cc8aaf0543a44f9fb067340d7b4d2d7e', '3d5547ed57e2466bb12264e530574179', 'db34b3aec8764d148b0a2cbebc0ebda7']"
down hallway up stairs on left wait at top of second flight of stairs,Walk down the hallway and up the stairs on the left. Wait at the top of the second flight of stairs. ,"['c9b12291d12d4d47acbadfe3c587a435', '7f870283a3db4ded839990a74bf6e5dc', 'd55affbb927443bcb1d4eb451e0e7ebb', 'd9dec53a415a463a8f853195ec0b17d9', 'c59ca57402e146fcbe6c45b7598d1faf', '4c89f665a3c94e91900b61b542854a0e', '000218f0b4f147ba93b65616b8b05820']"
check on bathroom with marble top sink next large open closet,Go check on the bathroom with the marble top sink that is located next to a large open closet. ,"['60c1842a4b1c4966a90d779f8ba50e38', '6b7940e7ecfa416ab2e6b93d3826a935', '7e0b74a0d4754a3f9973ade6bb1739b4', '6692c5cef5b544788c2ea96579658e24', 'efcde89f131d4c51b2e9c22dd7e9a5e5', 'd53f0ba834c44251a32bf361031c931a', 'dcbe971afee14c57beb3c76980ead77a']"
walk through closet into laundry room right into hallway turn in front of bench,Walk through the closet and into the laundry room. Turn right and walk into the hallway and turn left. Stop in front of the bench. ,"['48c8e8de5830459aa06ebaa4ae2b91ad', '44121bda3e5548c19b595e16c8e59c59', 'cc356636fdbf45769882f5912bc6d009', '410b3939a8c24ab8858782fa544d704d', 'ca75317572dc44509427cf7b2caecda6', '1b48df86b7a149fa8e90161265def866']"
forward turn stairs straight at end of stairs,"Go forward, turn left, head down stairs and keep going straight. Stop when at end of stairs. ","['2665dbb7fe3e4f33811e687cc4054393', '259d382e92ce4a10bbc8e7d713b4b5ca', '80a66a290031459b8d96a077ee2cbf4f', '8d4b6c6b93934835a39c391d39f5a537', '30ac7a9f6c8d4bc4b27b7b2782f2eb99', '7d0855f289224c24b83f2b19b15c1d6d', 'bbd00fa328db45e19a55bef3b3cb4b23']"
exit gym right through kitchen past foyer into living room stop wait near console table,"Exit the gym and go right through the kitchen, continue straight past the foyer into the living room. Stop and wait near the console table. ","['f5f240dba39b4c19a1354c89c56d7a59', 'd3bbb56e888d4b659563d6e135406870', 'd16ee55e1e434c8abc07c79b08204bf1', '87449aea807942e0998e230c344f0e42', '112b976211e448f08cc955a8f4315e0c', '6a39f7496f3e496abad3584ae5812de4', '146714339e954166a2f701202e030c29']"
stairs turn into room double doors on left wait there,Go down the stairs. Turn left and go into the room using the double doors on the left. Wait there. ,"['2e99c4517678406c935d5c8bb25942c8', '282d98c53101421f9df5e0aed5d356a3', 'c742bd01328e48a0acc256a1ce2a48fc', 'b90801209e564a309883d214b02a6195', '112b976211e448f08cc955a8f4315e0c', 'aaef0e13feb84a9a8cb567429c9fb8d7']"
