,src,tgt,path
0,flight of stairs on landing,Walk down one flight of stairs and stop on the landing. ,"['af3af33b0120469c9a00daa0d0b36799', '5be145994f974347850a48cecd04cdcd', '79aedad1206b4eea9c4b639ea2182eb7', '1c91ed40af2246f2b126dd0f661970df', '385019f5d018430fa233d483b253076c', 'fd263d778b534f798d0e1ae48886e5f3']"
1,turn straight left at wall straight,Turn around and go straight. Take a left at the wall and go straight. ,"['9d001c6bc0f64a699fd36a6b9a61266a', '8138835f78064c28b6c9c35a89eda7d6', '37a978a1cc0e4464a714fb676f65b7fb', '859a7c9c12c847d9a6860bd6d6bd635a', 'c3c5e202b9a04a63ae33742fe9095936', 'c06aae190b804b759496db0b88fe4820']"
2,walk into hallway through entrance kitchen area walk sink area between refrigerator table,Walk into the hallway and through the entrance to the kitchen area. Walk  Passed the sink and stove area and stop between the refrigerator and dining table. ,"['6c4ef6ac616042bc9fe4adc5f6d21b10', 'f553a3287fb2438b979f09b09448c7c0', 'e0d2a4e22abe44d7810d7e448fff6704', '62e602fc5b85463dbd8f48ba625d05ef', '1e951fdbfd9d45bbaf935da945f5425c', '814d9aba371640e5a70bcb7833bfe08f', '1b48df86b7a149fa8e90161265def866']"
3,walk past chairs left walk in front of chair stop,Walk past the chairs and to the left. Walk in front of the chair and stop. ,"['897ee6cdc5314ffaa23bf487ac2e0def', '12cd53fa035549b29c5afe191ca7c0bb', '88e1a361dfe240d49d9f3bf34a8f1617', '5d8ebc45c0c34488aca8f4edf86ec97c', '7913c846ee9443daafb87cab26566963']"
4,walk beside outside doors behind chairs across room right up stairs on seventh step,Walk beside the outside doors and behind the chairs across the room. Turn right and walk up the stairs. Stop on the seventh step. ,"['bd67e1a2dec64aab9e028df026ce4caf', 'd2cf7bc1308c4d1b86973b4ad1336404', '6019439d967f4e5ab8332170d0d17a57', '913aefa5733c425eb79de9f5e225cd0e', 'f745a3bf638a40dd85e29ce98d8c2aba', '81a50ecde0ab42cd81e0cf23a2529675', '7d9e8e6508884b1c8c9fedf59d70729e']"
5,walk out of bathroom turn along hallway white painting other bathroom turn stairs down of stairs wait on there,Walk out of the bathroom and turn left. Walk along the hallway passed the white painting and the other bathroom.  Turn left towards the stairs. Walk down three of the stairs and wait on there. ,"['eb7c8095d2514ab7a84732fa41ed3594', 'bf22e389bd754181924923b4f5e0fe02', 'c43ed5913b6d45e5aa3b782bfa860805', 'ec0421cc61c64f6f8692d327d6838fd5', 'b6985ed68dd8405e969fcbbcd6dfcc42', '213a5fa207dc491894df2f4405c40838', '8fcf0b6f46b8465ab762e45a0060f6f0']"
6,exit room turn hallway slightly right down hallway right into room wait at entrance,Exit the room. Turn left and go down the hallway. Turn slightly right to continue going down the hallway. Turn right and go into the room. wait at the entrance. ,"['e29484c59af4429981a6a5d5afe4d5a0', 'd8cae4c7073346e392d3996254bf741c', 'af5f1942b4374015823bd32e31b31c64', '9ee37c1bce0a41e8bd50821540e80713', 'fd4752f551d04e22be492adea0d9fb04', '450b5325b5bf48f0a8076bb973b42fdf']"
7,turn right across hallway through doorway slightly middle hallway walk though wait at entrance,Turn right and walk across the hallway through the doorway. Turn slightly left and enter the middle hallway and walk though it. Wait at the entrance. ,"['3fe5daf13a5546069766f1c4bfd50fcc', '204fc459fd244be1b08fe56aa9caea9d', '9ee37c1bce0a41e8bd50821540e80713', 'fd4752f551d04e22be492adea0d9fb04', '450b5325b5bf48f0a8076bb973b42fdf']"
8,enter kitchen right by sinks between cabinets stairs turn wait by stool at end of counter,Enter the kitchen and turn right by the sinks. Go between the cabinets towards the stairs. Turn left and wait by the stool at the end of the counter. ,"['ba8b23a7aaeb463ba565174f9f44787a', 'c5c6bc7725e44fbf9cdb474aef50a74b', 'acf55e0267824aef8e8b9ad200e36091', '2fd10d37b87f46d6b4e0501aac549c6f', '2f4d90acd4024c269fb0efe49a8ac540']"
9,red artwork on left into doorway then right after first silver chair straight through glass door step into bedroom stop,"Go passed the red artwork on the left, go into the doorway and then make a right after the first silver chair. Go straight through the glass door and step into the bedroom and stop. ","['e5d22d5625714f54add784abac16c69f', '13c191f506114c73b70830b89e195aa6', 'd52aaea9fc6e4d5fbecd0220eb9da436', '4890b24fbb59414892ca854895896126', '37cb64e0cddc4f20b309abc4ff5344c2', '3ba76deab6be444c8b21652763d82795']"
