src,tgt,Pred-20,Pred-52,Pred-100
 left window-other right counter left window-other,Walk past the large picture and chair. Walk past the dining room table turn right into the hallway and stop. ," Go to the left when you get to the right, go to the counter, and take a left."," Go to the left and take a left. Take the left, and the the and the the"," Go to the left passed the railing and turn to the right when you get to the left, and stop when you get to the"
 left tv right door-stuff left window-other right door-stuff,Walk to the foot of the bed and to a little sitting area.  Go through the door on the left side.  Stop once you have stepped into the bathroom. , Go to the left the the tv. Turn right and the the the the the right and right and right and right, Go left passed the tv and the right and go the the right right the go go right and right and, Go to the left and tv. Make a right and go to the right. Turn left and go down the right and stop.
 right door-stuff left counter right couch right couch left window-other,"Go straight and slightly right toward the glass table and white chairs. Pass the table and head straight, pass the couches and go into the room straight ahead. Wait by the bed. ", Go to the right when you get to the turn left. Go the counter and turn right when you get to the couch. Go right passed the couch and stop when you get to the left and the, Go to the right and take a right to the the counter. Go Go and and Go Go the turn couch. right couch the and to and and," Go to the right passed the glass and to the left, go passed the counter, turn right to the couch. Turn right couch and and stop to the left and"
 left tv left door-stuff,Go stand behind the middle kitchen island chair. , Go to the left the the TV. Go to the and and, Go left and the the the TV. Make a left the and, Go to the left and the TV to the left. and
 left door-stuff straight towards window-other straight towards dining table,Walk behind the couch and turn left.  Stop beside the middle stool. , Make a left when you see a left towards the towards the towards the walk towards the dining table., Go passed the left and take a left. Walk straight towards the take a left towards towards dining dining table., Make a left towards the railing. Go straight towards the left towards the wooden table. Go straight towards the dining table.
 left tv right door-stuff,"Walk straight, and when you reach the end of the table turn right.  Wait by the brass chairs. ", Go to the left passed the tv and take a right when you get to the, Go left passed the tv and tv. Turn right and stop and the, Go to the left. Go to the tv and turn right. Go to the
 right window-other straight towards door-stuff right mirror-stuff right door-stuff,Walk straight through the living room with the couch on your right. Go through the doorway into the bedroom at the end of the walkway. In the bedroom take a left and stop in the entry way just before the rug. , Go right and right the the right and right the the the right right right right and right and stop, Go right and follow the the straight towards the right. Turn right and continue down the right right and right right, Go right and continue going straight towards the right. Turn right and go right down the right and stop right to the
 right bed left door-stuff right door-stuff,Exit the shower and go into the room then turn right to exit the bedroom. Head toward the beige couches and wait near the blue rug with the three round coffee tables. , Go to the right passed the bed and take a left. Go to the the and turn and right and, Go right around the bed and take a left. Go another passed the railing and take a right and the," Go right and take a Go the go right, go right right, right, and you stop right entered the"
 straight towards dining table right door-stuff right door-stuff left door-stuff,"Walk forward in the direction of the dining room. Veer right, and go down the hall into the bathroom. Stop in front of the sink. ", Go straight towards the dining table. Turn right and walk to the right and the right the right and and the, Go straight towards the dining table. Turn right and go right to the right take a right and take a stop right the, Go straight towards the dining table. Turn right and go right to the right take a right and take a right the stop and
 right door-stuff left window-other left couch right window-other,Go in the left side door and go passed the sinks and stop in the doorway. , Go to the right when you get to the right and the the and make left couch and right and right right the, Go right and take a right. Go the left and and take left and the couch couch to the right and, Go to the right passed the to the right and go the go left and left and couch and couch right and
 right couch right window-other straight towards door-stuff,"Walk forward past he living room, into the dining room. Stop in the doorway to the bedroom. ", Go to the right passed the couch and right and right the the right and and and and and, Go to the right passed the couch and turn right and continue going passed the right towards the and go towards the and, Go right to the couch and right to the right. right. Go go straight and towards the stop
 left door-stuff left window-other left couch right furniture-other,Go straight then turn right. Pass the bed then turn left pass the shower on the right and the sink on the right and wait by the toilet. , Go to the left when you get to the left and the the make a left couch. couch and the right and right the, Go left and take a left. Take another left and go left. Take the left and couch and couch right right set., Go to the left and take a right. Take the left and go the couch. Take a right and stop right when you get to the right.
 left door-stuff left window-other left window-other right door-stuff,"Move forward and turn left. Your goal is ahead, move forward until you reach it. "," Go to the left when you get to the left, make a left when you see a left, take a left when you see the the right and stop when you get to the", Go left and take a left. Take another left. Take a left and go left. Take the right and enter the right, Go to the left and take a left. Take the and go left. Take a left and the keep right the right when you
 left door-stuff left bed straight towards keyboard left refrigerator left counter,"Turn right walk out doorway. Turn right walk towards bathroom. Turn right walk past bathroom. Turn left, stop in front of bar stools. ", Go to the left when you get to the left and go the the bed. Go straight towards the left and a a and go to the the to the the," Go left and take a left towards the bed, go straight towards the left towards the left a left towards the refrigerator set. take a left passed the counter."," Go to the left passed the railing and passed the bed. Go straight towards the left there can to the left, go to the refrigerator and to the left counter."
 left bed left door-stuff straight towards window-other left couch,Turn so the wall is on your right and the furniture is on your left. Then go forward until you're past the furniture. Turn left and move forward until you're next to the kitchen pass through on your right. , Go to the left passed the bed and take a left. Go the the and and the the the the the to and couch. couch. couch. couch., Go the the bed and passed the left and take a left. Enter the left towards the towards the towards your and couch.," Go to the left passed the bed and to the left, go passed the left towards the hallway, and go towards the left couch."
 left toilet straight towards door-stuff straight towards door-stuff straight towards window-other,Walk out of the bathroom and turn right. Stop in front of the bed. , Make a left to the toilet. Go straight towards the towards the towards the towards towards towards towards straight straight and, Go your left and take the toilet. Go straight towards the left towards the towards and towards towards towards your towards, Go to the left passed the toilet. Keep going straight towards the arch. Continue straight towards the left and towards the towards towards the
 left toilet right furniture-other right couch,"walk towards robe, through doorway, turn right towards bed, turn right and stop in doorway. ", Go to the left and enter the toilet. Turn right and go right when you get to the couch., Go left and take the right and take a right. Go another right and enter the right couch., Go to the left and toilet. Turn right and continue down the right couch. Stop right when you reach the couch.
 right couch,Walk through the door. Turn left. Walk past the table. Turn left. Stop next to the bar stools. , Go to the right couch. couch. couch., Go to the right and enter the couch. Stop right and the couch., Go to the right when you get to the couch.
 left window-other right window-other right door-stuff left door-stuff,Walk past the dining table and take a left into the hallway. In the hallway walk into the bathroom and stop on the rug. , Go to the left when you get to the right and the right. Walk to the right and the the and the, Go left and follow the the right to the right. Turn right and go the and right and the and left, Go to the left and continue to the right. Follow the right and the right Make a right the go to the
 right window-other,Walk to left of the dinning table and make a right at the end of the table and another right and walk to the middle of the table and wait there. , Go right when you get to the the, Go right and continue down the the, Go right and continue down the right stopping right the
 left bed left bed right couch left door-stuff,Exit the room and turn left into the bathroom. , Go to the left passed the bed. Go to the left and go the bed. Go to the right and the couch. the to the the," Go left passed the bed, and take a left. Go to the bed, and turn right passed the couch and go to the left", Go to the left passed the bed and to the left. Go to the bed and turn right. Go to the couch and to the left and
 straight towards door-stuff right refrigerator left door-stuff,"Exit the wet bar, walk straight ahead and wait in the bathroom at the end. ", Go straight towards the the and turn right to the refrigerator. Go the to the left and, Go straight towards the turn and turn right to go refrigerator. the left refrigerator to the left and," Go straight towards the right, make a right and go to the refrigerator. Go to the left and stop to the"
 left bed left bed straight towards keyboard left door-stuff,Go between the two tables and through the doorway and go to your left to the sink. , Go to the left passed the bed and to the left. Go passed the bed and go straight towards the left. Go to the left and stop when you get to the, Go passed the bed and passed the left to the left. Go passed the bed and straight towards the go left and stop facing the, Go to the left passed the bed and to the left. Go to the bed and go straight towards the left into the left. Stop when you get to the
 left window-other left tv right door-stuff right door-stuff,"Walk across living room, turn left and enter super cool theater room. ", Go to the left when you get to the left to the the tv. Turn right and right right the right right and right and, Go left and follow the the to the left and and the the right right right right right right right right right," Go to the left passed the railing and go to the left a and right right a right right right, right,"
 left door-stuff straight towards window-other right bed straight towards door-stuff,"walk behind couch to bedroom on right, in front of couch turn left and enter bathroom,  stop at vanity mirror. ", Make a left when you see a left towards the towards the and turn right passed the bed and go straight towards the, Go your left and the and go straight towards the and and right passed passed passed the bed go straight stop, Go to the left and take a right. Walk straight towards the the and right bed. take a right bed walk straight
 left bed straight towards keyboard right door-stuff,"Exit the room, and turn right.  Immediately turn right and walk towards the long glass table.  Wait here. ", Go to the left passed the bed. Go straight towards the tables. Go to the right and stop when you get to the, Go left passed the bed and go straight towards the keyboard. Turn right and go out the, Go to the left passed the bed and go straight towards the keyboard. Turn right and and take the right and
 left tv straight towards bed left window-other right door-stuff,"Walk into the bedroom, around the bed, and stop right next to the open doorway. ", Go to the left Cross the tv and go straight towards the bed. Go to the left and the the the right and right and, Go left passed the tv and go straight towards the bed and take a left and go passed the and take right and right and, Go to the left passed the tv and go straight towards the bed. Go to the left and turn left passed the and to right
